# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
5.029394530999999233e+02,1.988310906683172874e+01,7.650135488742965117e-03
5.020286560000000122e+02,1.991918166519960565e+01,7.143545176149032269e-03
5.009658507999999415e+02,1.996144045353759822e+01,6.968116520680518559e-03
5.000546874999999432e+02,1.999781273923164804e+01,7.200302971746017425e-03
4.989914551000000529e+02,2.004042333349367055e+01,7.541991164114679805e-03
4.979279784999999947e+02,2.008322575109123065e+01,7.396158853962244567e-03
4.970162354000000846e+02,2.012006708785271769e+01,8.905015569225693123e-03
4.959523315000000139e+02,2.016322812669346121e+01,8.292109618685161027e-03
4.950401916999999798e+02,2.020038002502252183e+01,6.389843359777803988e-03
4.939758605999999759e+02,2.024390420182406913e+01,7.041921090009057964e-03
4.930633545000000026e+02,2.028136933871446246e+01,6.285099629573007163e-03
4.919985962000000086e+02,2.032526124512547838e+01,6.911810358840057497e-03
4.909335631999999805e+02,2.036935493841175671e+01,9.142259610279399734e-03
4.900205078000000753e+02,2.040730916527571281e+01,6.539225801220124173e-03
4.889550780999999802e+02,2.045177654940894740e+01,7.809216218927204391e-03
4.880416564999999878e+02,2.049005421323087361e+01,7.601672242138644495e-03
4.869757690000000139e+02,2.053490263085348744e+01,7.365871213334761712e-03
4.860619811999999911e+02,2.057350787920460533e+01,8.106080414680793059e-03
4.849956970000000638e+02,2.061873963388998732e+01,9.519817171761695007e-03
4.839291686999999342e+02,2.066418113804430590e+01,8.249696850843517976e-03
4.830148314999999570e+02,2.070329801042558771e+01,9.156625282004138625e-03
4.819478760000000079e+02,2.074913180030281978e+01,9.543163151822844567e-03
4.810331726000000003e+02,2.078858708631189245e+01,1.218669342843392220e-02
4.799657898000000387e+02,2.083481825687402278e+01,1.148094079044023781e-02
4.790507202000000007e+02,2.087461635758542755e+01,1.120334880925202316e-02
4.779829101999999921e+02,2.092125008363949590e+01,1.193959803778249333e-02
4.770674743999999805e+02,2.096139547676528991e+01,9.581998596393460216e-03
4.759992675999999960e+02,2.100843568608885903e+01,1.132484879339061036e-02
4.749308472000000165e+02,2.105569696926605516e+01,1.117303045092399305e-02
4.740148621000000162e+02,2.109638494391840524e+01,1.290560939517652016e-02
4.729460144000000241e+02,2.114406231477907028e+01,9.816143135654670920e-03
4.720296630999999934e+02,2.118510928810312777e+01,1.058175910697257277e-02
4.709604186999999911e+02,2.123320687458867440e+01,1.277754284515027032e-02
4.700437011999999868e+02,2.127461760357698495e+01,1.083999379009747965e-02
4.689740294999999151e+02,2.132314237242853849e+01,1.081596608156903429e-02
4.680570068000000674e+02,2.136491891953020783e+01,1.106096693885687612e-02
4.669869080000000281e+02,2.141387655347288543e+01,1.067404842801190044e-02
4.660695190000000139e+02,2.145602660619391244e+01,9.431597081049640854e-03
4.649990233999999987e+02,2.150542151009601355e+01,1.407728870669396580e-02
4.639282837000000086e+02,2.155505570871060783e+01,1.112025428069607531e-02
4.630103760000000079e+02,2.159778812386701219e+01,1.398941201032577637e-02
4.619392394999999851e+02,2.164786869118097457e+01,1.284562017913772058e-02
4.610209656000000109e+02,2.169098749551532279e+01,1.286808805957879130e-02
4.599494323999999779e+02,2.174152047067511617e+01,1.229272509718949344e-02
