# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.625000000000000000e+02,2.162162162162162105e+01,4.378809778698064424e-06,9.366547792246329163e-01
4.630000000000000000e+02,2.159827213822894265e+01,4.379181082046202388e-06,9.387606693771622934e-01
4.635000000000000000e+02,2.157497303128371158e+01,4.405958708250184276e-06,9.465420227004806009e-01
4.640000000000000000e+02,2.155172413793103559e+01,4.434203024091968931e-06,9.546661742749046331e-01
4.645000000000000000e+02,2.152852529601722154e+01,4.470488146711577770e-06,9.645536401565266704e-01
4.650000000000000568e+02,2.150537634408602017e+01,4.500103433879012228e-06,9.730348649904896341e-01
4.654999999999999432e+02,2.148227712137486733e+01,4.522284314117639693e-06,9.799349185972295873e-01
4.660000000000000568e+02,2.145922746781115720e+01,4.531489732269643795e-06,9.840401843007470228e-01
4.664999999999999432e+02,2.143622722400857583e+01,4.553589858736597812e-06,9.909624706354402957e-01
4.670000000000000568e+02,2.141327623126338153e+01,4.559882689904883973e-06,9.944602559586664947e-01
4.675000000000000000e+02,2.139037433155080237e+01,4.560309718645230821e-06,9.966841909456567450e-01
4.680000000000000568e+02,2.136752136752136622e+01,4.565709693914820654e-06,1.000000000000000000e+00
4.685000000000000568e+02,2.134471718249733030e+01,4.545721919496569621e-06,9.977507319846211642e-01
4.690000000000000000e+02,2.132196162046908228e+01,4.526780608642179269e-06,9.957151894575423379e-01
4.695000000000000000e+02,2.129925452609158754e+01,4.490880760190297116e-06,9.899259686889372301e-01
4.700000000000000000e+02,2.127659574468085069e+01,4.485988211461994242e-06,9.909547959119545668e-01
4.704999999999999432e+02,2.125398512221041614e+01,4.424102739374598210e-06,9.793647294410393611e-01
4.710000000000000000e+02,2.123142250530785446e+01,4.434881608333912962e-06,9.838385708744035174e-01
4.714999999999999432e+02,2.120890774125132694e+01,4.379919138127840093e-06,9.737096784152606821e-01
4.720000000000000568e+02,2.118644067796610031e+01,4.371409640739584711e-06,9.738801254025278853e-01
4.725000000000000000e+02,2.116402116402116462e+01,4.312423198741957742e-06,9.627754317641341597e-01
4.729999999999999432e+02,2.114164904862579419e+01,4.235559009578534100e-06,9.476173816539956718e-01
4.735000000000000000e+02,2.111932418162618674e+01,4.195205454702697438e-06,9.405745021566178643e-01
4.740000000000000000e+02,2.109704641350210963e+01,4.153063731005935935e-06,9.330937468274896895e-01
4.745000000000000568e+02,2.107481559536353899e+01,4.100260168609079241e-06,9.231746020273766673e-01
4.749999999999999432e+02,2.105263157894736992e+01,4.032588293873351037e-06,9.098527338051745073e-01
4.755000000000000000e+02,2.103049421661409113e+01,3.993486162617349331e-06,9.029282197393232456e-01
4.760000000000000000e+02,2.100840336134453779e+01,3.947806654210637106e-06,8.944782404844293655e-01
4.765000000000000568e+02,2.098635886673661943e+01,3.864965347878433333e-06,8.775490784078312512e-01
4.769999999999999432e+02,2.096436058700209770e+01,3.791973704186363107e-06,8.627839849398187821e-01
4.775000000000000000e+02,2.094240837696334978e+01,3.718152568083814469e-06,8.477620239766602284e-01
4.780000000000000000e+02,2.092050209205021005e+01,3.677285806820192063e-06,8.402009702855047779e-01
4.784999999999999432e+02,2.089864158829676200e+01,3.628561415651640425e-06,8.308035859907846321e-01
4.790000000000000000e+02,2.087682672233820469e+01,3.574026278263730306e-06,8.200281633111085045e-01
4.795000000000000000e+02,2.085505735140771577e+01,3.474317395910536726e-06,7.988159242470995736e-01
4.800000000000000000e+02,2.083333333333333215e+01,3.412437329923449217e-06,7.862255608143626784e-01
4.805000000000000000e+02,2.081165452653485914e+01,3.341250151305937081e-06,7.714286702460525502e-01
4.810000000000000000e+02,2.079002079002079029e+01,3.329132626032284664e-06,7.702314534914553867e-01
4.815000000000000000e+02,2.076843198338525553e+01,3.205568541999390013e-06,7.431862233063580847e-01
4.820000000000000000e+02,2.074688796680498015e+01,3.161823464649671668e-06,7.345674746012703649e-01
4.825000000000000000e+02,2.072538860103626845e+01,3.146644037951409480e-06,7.325583985603253412e-01
4.830000000000000000e+02,2.070393374741200887e+01,3.062685476152798137e-06,7.144908320462101115e-01
